experience_level,job_title,salary_in_usd,employee_residence,company_location,company_size
SE,Data Scientist,110500,US,US,M
SE,Data Engineer,238000,US,US,M
SE,Data Engineer,176000,US,US,M
SE,Data Engineer,237000,US,US,M
SE,Data Engineer,201450,US,US,M
SE,Applied Scientist,309400,US,US,L
SE,Applied Scientist,159100,US,US,L
SE,Data Engineer,115000,US,US,M
SE,Data Engineer,81500,US,US,M
SE,Data Scientist,237000,US,US,M
SE,Data Scientist,201450,US,US,M
SE,Computer Vision Engineer,280000,US,US,M
SE,Computer Vision Engineer,210000,US,US,M
SE,Data Architect,280100,US,US,M
SE,Data Architect,168100,US,US,M
SE,Data Engineer,193500,US,US,M
SE,Data Engineer,139000,US,US,M
MI,Data Scientist,65062,HK,HK,L
SE,Machine Learning Engineer,150000,PT,US,M
MI,Applied Machine Learning Engineer,69751,IN,DE,S
EN,AI Developer,300000,IN,IN,L
MI,Machine Learning Engineer,96578,NL,NL,L
SE,Business Intelligence Engineer,185900,US,US,M
SE,Business Intelligence Engineer,129300,US,US,M
SE,Data Engineer,225000,US,US,M
SE,Data Engineer,175000,US,US,M
SE,Data Engineer,185000,US,US,M
SE,Data Engineer,140000,US,US,M
SE,Data Scientist,48289,ES,ES,M
SE,Data Scientist,38631,ES,ES,M
SE,Data Scientist,105000,US,US,M
SE,Data Scientist,70000,US,US,M
EN,Machine Learning Engineer,163196,US,US,M
EN,Machine Learning Engineer,145885,US,US,M
SE,Data Engineer,217000,US,US,M
SE,Data Engineer,185000,US,US,M
SE,Data Analyst,202800,US,US,L
SE,Data Analyst,104300,US,US,L
SE,Data Analyst,145000,US,US,M
SE,Data Analyst,65000,US,US,M
SE,Data Engineer,165000,US,US,M
SE,Data Engineer,132300,US,US,M
SE,Data Engineer,179170,US,US,M
SE,Data Engineer,94300,US,US,M
SE,Analytics Engineer,152500,US,US,M
SE,Analytics Engineer,116450,US,US,M
SE,Data Engineer,247300,US,US,M
SE,Data Engineer,133800,US,US,M
SE,Research Engineer,203000,US,US,M
SE,Research Engineer,133000,US,US,M
EN,Research Scientist,220000,US,US,L
EN,Machine Learning Engineer,56536,CH,CH,S
SE,Data Scientist,150000,US,US,M
SE,Data Scientist,120000,US,US,M
SE,Analytics Engineer,289800,US,US,M
SE,Analytics Engineer,214000,US,US,M
SE,Analytics Engineer,179820,US,US,M
SE,Analytics Engineer,143860,US,US,M
SE,Machine Learning Engineer,283200,US,US,M
SE,Machine Learning Engineer,188800,US,US,M
SE,Analytics Engineer,289800,US,US,M
SE,Analytics Engineer,214200,US,US,M
SE,Data Engineer,185900,US,US,M
SE,Data Engineer,129300,US,US,M
SE,Data Engineer,252000,US,US,M
SE,Data Engineer,129000,US,US,M
MI,Data Analytics Manager,155000,US,US,M
MI,Data Analytics Manager,140000,US,US,M
SE,Data Engineer,161800,US,US,M
SE,Data Engineer,141600,US,US,M
SE,Machine Learning Engineer,342300,US,US,L
SE,Machine Learning Engineer,176100,US,US,L
MI,Data Engineer,100000,US,US,M
MI,Data Engineer,70000,US,US,M
EN,Data Engineer,85000,US,US,M
EN,Data Engineer,65000,US,US,M
SE,Data Scientist,138784,US,US,M
SE,Data Scientist,83270,US,US,M
EN,Data Analyst,75000,US,US,M
EN,Data Analyst,70000,US,US,M
SE,Data Analyst,204500,US,US,M
SE,Data Analyst,138900,US,US,M
SE,Machine Learning Engineer,318300,US,US,M
SE,Machine Learning Engineer,212200,US,US,M
SE,Data Engineer,95000,US,US,M
SE,Data Engineer,75000,US,US,M
SE,Data Scientist,195000,US,US,M
SE,Data Scientist,160000,US,US,M
SE,Analytics Engineer,230000,US,US,M
SE,Analytics Engineer,143200,US,US,M
MI,Data Engineer,100000,US,US,M
MI,Data Engineer,70000,US,US,M
MI,Business Data Analyst,105000,US,US,L
MI,Applied Data Scientist,20670,IN,IN,L
MI,Data Analyst,46178,GB,GB,M
MI,Data Analyst,42533,GB,GB,M
SE,Data Engineer,145000,US,US,M
SE,Data Engineer,115000,US,US,M
SE,Data Analyst,168400,US,US,M
SE,Data Analyst,105200,US,US,M
SE,Applied Scientist,309400,US,US,L
SE,Applied Scientist,159100,US,US,L
SE,Machine Learning Engineer,190000,US,US,M
SE,Machine Learning Engineer,150000,US,US,M
MI,Data Engineer,162500,US,US,M
MI,Data Engineer,130000,US,US,M
SE,Analytics Engineer,150000,US,US,M
SE,Analytics Engineer,120000,US,US,M
SE,Data Engineer,145000,US,US,M
SE,Data Engineer,120000,US,US,M
SE,Applied Scientist,222200,US,US,L
SE,Applied Scientist,136000,US,US,L
SE,Data Analyst,54685,CF,CF,M
SE,Data Analyst,42533,CF,CF,M
SE,Data Engineer,241000,US,US,M
SE,Data Engineer,155000,US,US,M
SE,Data Engineer,220000,US,US,M
SE,Data Engineer,190000,US,US,M
MI,Data Scientist,66837,GB,GB,M
MI,Data Scientist,54685,GB,GB,M
EX,Staff Data Analyst,15000,NG,CA,M
MI,ETL Engineer,85066,GB,GB,M
MI,ETL Engineer,57723,GB,GB,M
EN,Data Analyst,85000,US,US,M
EN,Data Analyst,75000,US,US,M
SE,Data Engineer,160000,US,US,M
SE,Data Engineer,140000,US,US,M
MI,Machine Learning Engineer,300000,US,US,M
MI,Machine Learning Engineer,250000,US,US,M
SE,Data Scientist,228000,US,US,M
SE,Data Scientist,186000,US,US,M
SE,Data Scientist,190000,US,US,M
SE,Data Scientist,170000,US,US,M
MI,Research Engineer,230000,US,US,M
MI,Research Engineer,200000,US,US,M
SE,Data Architect,180000,US,US,M
SE,Data Architect,115000,US,US,M
SE,Data Architect,200000,US,US,M
SE,Data Architect,115000,US,US,M
SE,Data DevOps Engineer,53654,FR,FR,S
EX,Data Engineer,220000,US,US,M
EX,Data Engineer,205000,US,US,M
MI,Data Engineer,180000,US,US,M
MI,Data Engineer,130000,US,US,M
SE,Data Engineer,200000,US,US,M
SE,Data Engineer,150000,US,US,M
SE,Computer Vision Engineer,215000,US,US,M
SE,Computer Vision Engineer,170000,US,US,M
SE,Machine Learning Engineer,247500,US,US,M
SE,Machine Learning Engineer,172200,US,US,M
SE,Data Scientist,224000,CA,CA,M
SE,Data Scientist,176000,CA,CA,M
SE,Data Analyst,120000,US,US,M
SE,Data Analyst,75000,US,US,M
EN,Data Engineer,17022,IN,IN,L
SE,Applied Data Scientist,68318,AU,FI,M
MI,AI Developer,75020,FI,FI,M
SE,Data Analyst,140000,US,US,M
SE,Data Analyst,120000,US,US,M
SE,Data Engineer,128000,US,US,M
SE,Data Engineer,81500,US,US,M
SE,Data Engineer,145000,US,US,M
SE,Data Engineer,115000,US,US,M
SE,Data Engineer,185000,US,US,M
SE,Data Engineer,140000,US,US,M
EX,Head of Data,329500,US,US,M
EX,Head of Data,269600,US,US,M
SE,Data Quality Analyst,100000,US,US,M
SE,Data Quality Analyst,80000,US,US,M
SE,Data Scientist,250000,US,US,M
SE,Data Scientist,162500,US,US,M
MI,AI Developer,200000,US,US,M
SE,Data Engineer,145000,US,US,M
SE,Data Engineer,100000,US,US,M
EX,Data Engineer,145000,US,US,M
EX,Data Engineer,115000,US,US,M
SE,Data Scientist,203500,US,US,M
SE,Data Scientist,152000,US,US,M
SE,Data Scientist,239000,US,US,L
SE,Data Scientist,122900,US,US,L
SE,Data Scientist,237000,US,US,M
SE,Data Scientist,145000,US,US,M
SE,Data Science Manager,191765,US,US,M
SE,Data Science Manager,134236,US,US,M
SE,Analytics Engineer,190000,US,US,M
SE,Analytics Engineer,112000,US,US,M
SE,Data Scientist,88256,ES,GB,L
EN,Data Engineer,85000,US,US,M
EN,Data Engineer,65000,US,US,M
SE,Data Analyst,135000,US,US,M
SE,Data Analyst,105500,US,US,M
SE,Research Engineer,293000,US,US,M
SE,Research Engineer,185000,US,US,M
SE,Data Analyst,80000,US,US,M
SE,Data Analyst,70000,US,US,M
SE,Data Engineer,220000,US,US,M
SE,Data Engineer,160000,US,US,M
SE,Data Scientist,175000,US,US,M
SE,Data Scientist,145000,US,US,M
SE,Data Analyst,200000,US,US,M
SE,Data Analyst,148500,US,US,M
SE,Data Scientist,48289,ES,ES,M
SE,Data Scientist,38631,ES,ES,M
SE,Data Engineer,240500,US,US,L
SE,Data Engineer,123700,US,US,L
SE,Analytics Engineer,152900,US,US,M
SE,Analytics Engineer,117100,US,US,M
SE,Analytics Engineer,173000,US,US,M
SE,Analytics Engineer,113000,US,US,M
SE,Applied Scientist,260000,US,US,L
SE,Applied Scientist,136000,US,US,L
EX,Data Engineer,175000,US,US,M
EX,Data Engineer,110000,US,US,M
SE,Applied Scientist,260000,US,US,L
SE,Applied Scientist,136000,US,US,L
SE,Research Scientist,130000,US,US,M
SE,Research Scientist,110000,US,US,M
SE,Applied Scientist,205000,US,US,M
SE,Applied Scientist,184000,US,US,M
SE,Data Analyst,149500,US,US,M
SE,Data Analyst,127075,US,US,M
SE,Data Scientist,195000,US,US,M
SE,Data Scientist,160000,US,US,M
SE,Data Engineer,219535,US,US,M
SE,Data Engineer,146115,US,US,M
SE,Data Scientist,170000,US,US,M
SE,Data Scientist,135000,US,US,M
SE,Data Scientist,175000,US,US,M
SE,Data Scientist,145000,US,US,M
SE,Data Scientist,199000,US,US,M
SE,Data Scientist,162000,US,US,M
SE,Applied Scientist,222200,US,US,L
SE,Applied Scientist,136000,US,US,L
EX,Analytics Engineer,221000,US,US,M
EX,Analytics Engineer,153000,US,US,M
SE,Data Analyst,187000,US,US,M
SE,Data Analyst,128000,US,US,M
SE,Research Scientist,210000,US,US,M
SE,Research Scientist,136000,US,US,M
SE,Data Scientist,175000,US,US,M
SE,Data Scientist,100000,US,US,M
SE,Data Engineer,179000,US,US,M
SE,Data Engineer,109000,US,US,M
SE,Data Scientist,245000,US,US,M
SE,Data Scientist,180000,US,US,M
SE,Data Analyst,142000,US,US,M
SE,Data Analyst,75000,US,US,M
SE,Data Manager,198800,US,US,M
SE,Data Manager,105200,US,US,M
SE,Data Analyst,125000,US,US,M
SE,Data Analyst,112000,US,US,M
SE,Data Scientist,210000,US,US,M
SE,Data Scientist,155000,US,US,M
SE,Data Manager,115000,US,US,M
SE,Data Manager,86000,US,US,M
SE,Data Scientist,165000,US,US,M
SE,Data Scientist,140000,US,US,M
SE,Data Analyst,139000,US,US,M
SE,Data Analyst,106000,US,US,M
EN,Data Analyst,40663,CA,CA,L
SE,AI Developer,275000,CA,CA,S
SE,Machine Learning Researcher,50000,UA,UA,S
MI,Machine Learning Engineer,280700,US,US,M
MI,Machine Learning Engineer,150450,US,US,M
EN,Data Scientist,51753,CA,CA,L
SE,Data Architect,250500,US,US,M
SE,Data Architect,159500,US,US,M
SE,Data Engineer,145000,US,US,M
SE,Data Engineer,115000,US,US,M
SE,Data Analyst,140000,US,US,M
SE,Data Analyst,120000,US,US,M
EN,Data Scientist,130001,US,US,M
EN,Data Scientist,71907,US,US,M
MI,Data Scientist,93918,US,US,M
MI,Data Scientist,51962,US,US,M
SE,Data Analyst,175000,CA,CA,M
SE,Data Analyst,135000,CA,CA,M
EN,Data Engineer,85000,US,US,M
EN,Data Engineer,65000,US,US,M
SE,Machine Learning Engineer,257000,US,US,M
SE,Machine Learning Engineer,147000,US,US,M
SE,Data Engineer,222000,US,US,M
SE,Data Engineer,175000,US,US,M
SE,Data Scientist,203000,US,US,M
SE,Data Scientist,133200,US,US,M
EN,Applied Scientist,213660,US,US,L
EN,Applied Scientist,130760,US,US,L
SE,Data Engineer,221000,US,US,M
SE,Data Engineer,147000,US,US,M
SE,Data Quality Analyst,100000,US,US,M
SE,Data Quality Analyst,80000,US,US,M
SE,Data Scientist,185900,US,US,M
SE,Data Scientist,129300,US,US,M
SE,Data Scientist,238000,US,US,M
SE,Data Scientist,156000,US,US,M
SE,Machine Learning Engineer,304000,US,US,M
SE,Machine Learning Engineer,199000,US,US,M
MI,Big Data Engineer,48289,ES,ES,M
SE,Data Engineer,150000,US,US,M
SE,Data Engineer,130000,US,US,M
SE,Data Scientist,140000,US,US,M
SE,Data Scientist,110000,US,US,M
MI,Data Analyst,90000,US,US,M
MI,Data Analyst,75000,US,US,M
MI,Research Scientist,195895,GB,GB,M
MI,Research Scientist,102772,GB,GB,M
SE,Data Engineer,240000,US,US,M
SE,Data Engineer,183600,US,US,M
MI,Data Specialist,130000,US,US,M
MI,Data Specialist,80000,US,US,M
SE,Data Engineer,250000,US,US,M
SE,Data Engineer,150000,US,US,M
SE,Data Analytics Manager,160000,US,US,M
SE,Data Analytics Manager,120000,US,US,M
SE,Machine Learning Engineer,289076,US,US,M
SE,Machine Learning Engineer,202353,US,US,M
SE,Data Engineer,145000,US,US,M
SE,Data Engineer,120000,US,US,M
SE,Data Analyst,155000,US,US,M
SE,Data Analyst,106000,US,US,M
SE,Data Engineer,200000,US,US,M
SE,Data Engineer,160000,US,US,M
SE,Data Scientist,157750,US,US,M
SE,Data Scientist,104650,US,US,M
MI,Data Scientist,180000,US,US,M
MI,Data Scientist,140000,US,US,M
EX,Data Scientist,200000,US,US,M
EX,Data Scientist,145000,US,US,M
MI,Lead Data Analyst,68000,US,US,L
EN,BI Data Engineer,60000,US,US,M
SE,Data Scientist,48289,ES,ES,M
SE,Data Scientist,38631,ES,ES,M
EN,Data Engineer,85000,US,US,M
EN,Data Engineer,65000,US,US,M
MI,Data Engineer,125000,US,US,M
MI,Data Engineer,90000,US,US,M
SE,Data Analyst,105000,US,US,M
SE,Data Analyst,90000,US,US,M
SE,Analytics Engineer,179820,US,US,M
SE,Analytics Engineer,143860,US,US,M
SE,Data Analyst,135000,US,US,M
SE,Data Analyst,105500,US,US,M
EN,Research Engineer,155000,US,US,M
EN,Research Engineer,125000,US,US,M
SE,Machine Learning Engineer,241000,US,US,M
SE,Machine Learning Engineer,181000,US,US,M
SE,Data Scientist,252000,US,US,M
SE,Data Scientist,154000,US,US,M
EX,Data Architect,180000,US,US,M
EX,Data Architect,155000,US,US,M
SE,Data Scientist,191765,US,US,M
SE,Data Scientist,134236,US,US,M
SE,Data Scientist,175000,US,US,M
SE,Data Scientist,145000,US,US,M
SE,Data Scientist,237000,US,US,M
SE,Data Scientist,145000,US,US,M
EN,Research Engineer,155000,US,US,M
EN,Research Engineer,125000,US,US,M
SE,Data Analyst,80000,US,US,M
SE,Data Analyst,70000,US,US,M
SE,Data Engineer,146000,US,US,M
SE,Data Engineer,75000,US,US,M
EN,Data Analyst,64200,US,US,M
EN,Data Analyst,56100,US,US,M
SE,Machine Learning Engineer,170000,US,US,M
SE,Machine Learning Engineer,130000,US,US,M
SE,Data Analyst,208450,US,US,M
SE,Data Analyst,170550,US,US,M
SE,Machine Learning Engineer,125000,US,US,M
SE,Machine Learning Engineer,100000,US,US,M
MI,Data Manager,135000,US,US,M
MI,Data Manager,120000,US,US,M
SE,Data Scientist,200000,US,US,M
SE,Data Scientist,170000,US,US,M
SE,Data Scientist,171250,IE,IE,M
SE,Data Scientist,113750,IE,IE,M
SE,Applied Scientist,222200,US,US,L
SE,Applied Scientist,136000,US,US,L
SE,Applied Scientist,260000,US,US,L
SE,Applied Scientist,136000,US,US,L
SE,Data Analyst,153600,US,US,M
SE,Data Analyst,100500,US,US,M
SE,Applied Scientist,205000,US,US,M
SE,Applied Scientist,184000,US,US,M
SE,Machine Learning Engineer,115000,CA,CA,M
SE,Machine Learning Engineer,95000,CA,CA,M
MI,Data Analyst,182500,US,US,M
MI,Data Analyst,121500,US,US,M
SE,Data Engineer,203100,US,US,M
SE,Data Engineer,114500,US,US,M
MI,Data Analyst,72914,GB,GB,M
MI,Data Analyst,54685,GB,GB,M
SE,Data Engineer,252000,US,US,M
SE,Data Engineer,129000,US,US,M
EN,Data Engineer,92700,US,US,M
EN,Data Engineer,61800,US,US,M
SE,Data Engineer,160000,US,US,M
SE,Data Engineer,130000,US,US,M
SE,Data Scientist,258000,CA,CA,M
SE,Data Scientist,190000,CA,CA,M
SE,Data Scientist,170000,US,US,M
SE,Data Scientist,135000,US,US,M
MI,Data Architect,167500,US,US,M
MI,Data Architect,106500,US,US,M
SE,Data Scientist,195000,US,US,M
SE,Data Scientist,160000,US,US,M
MI,Data Engineer,146000,US,US,M
MI,Data Engineer,75000,US,US,M
EN,Data Engineer,59888,NL,NL,L
EX,Data Engineer,286000,US,US,M
EX,Data Engineer,207000,US,US,M
SE,Data Analyst,100000,US,US,M
SE,Data Analyst,80000,US,US,M
SE,Data Engineer,223250,US,US,M
SE,Data Engineer,178600,US,US,M
EX,Director of Data Science,353200,US,US,M
EX,Director of Data Science,249300,US,US,M
MI,Machine Learning Scientist,230000,US,US,M
MI,Machine Learning Scientist,220000,US,US,M
SE,Data Scientist,297300,US,US,M
SE,Data Scientist,198200,US,US,M
MI,Research Scientist,210000,US,US,M
MI,Research Scientist,151800,US,US,M
SE,Data Scientist,200000,US,US,M
SE,Data Scientist,170000,US,US,M
SE,Data Scientist,317070,US,US,M
SE,Data Scientist,170730,US,US,M
SE,Data Engineer,128000,US,US,M
SE,Data Engineer,81500,US,US,M
EN,Business Data Analyst,21461,ES,ES,M
SE,AI Developer,108000,UA,UA,M
SE,AI Developer,60000,UA,UA,M
MI,MLOps Engineer,134000,US,US,M
MI,MLOps Engineer,124000,US,US,M
SE,Data Engineer,171250,US,US,M
SE,Data Engineer,113750,US,US,M
SE,Data Engineer,165000,US,US,M
SE,Data Engineer,132300,US,US,M
SE,Data Scientist,225000,US,US,M
SE,Data Scientist,175000,US,US,M
SE,Data Engineer,230000,US,US,M
SE,Data Engineer,124500,US,US,M
SE,Machine Learning Engineer,247500,US,US,M
SE,Machine Learning Engineer,172200,US,US,M
SE,Data Analyst,175000,US,US,M
SE,Data Analyst,145000,US,US,M
SE,Data Analyst,148700,US,US,M
SE,Data Analyst,125600,US,US,M
SE,Data Engineer,145000,US,US,M
SE,Data Engineer,115000,US,US,M
SE,Research Scientist,200000,US,US,M
SE,Research Scientist,150000,US,US,M
EN,Research Engineer,160000,US,US,M
EN,Research Engineer,120000,US,US,M
SE,Data Analyst,185000,US,US,M
SE,Data Analyst,120250,US,US,M
SE,Data Scientist,275300,US,US,M
SE,Data Scientist,183000,US,US,M
SE,Data Architect,170000,US,US,M
SE,Data Architect,125000,US,US,M
MI,Data Architect,167500,US,US,M
MI,Data Architect,106500,US,US,M
SE,Research Scientist,250000,US,US,M
SE,Research Scientist,200000,US,US,M
MI,Machine Learning Engineer,135000,US,US,L
SE,AI Scientist,423834,IL,IL,L
SE,Machine Learning Engineer,216000,US,US,M
SE,Machine Learning Engineer,184000,US,US,M
SE,Data Engineer,180000,US,US,M
SE,Data Engineer,165000,US,US,M
SE,Data Scientist,185900,US,US,M
SE,Data Scientist,129300,US,US,M
SE,Data Engineer,145000,US,US,M
SE,Data Engineer,120000,US,US,M
MI,Data Engineer,143865,US,US,M
MI,Data Engineer,115092,US,US,M
MI,Machine Learning Engineer,130000,US,US,M
MI,Machine Learning Engineer,90000,US,US,M
SE,Data Scientist,173000,US,US,M
SE,Data Scientist,132000,US,US,M
SE,Data Analyst,208049,US,US,M
SE,Data Analyst,128500,US,US,M
SE,Analytics Engineer,179820,US,US,M
SE,Analytics Engineer,143860,US,US,M
SE,Data Engineer,167500,US,US,M
SE,Data Engineer,106500,US,US,M
SE,Data Scientist,275300,US,US,M
SE,Data Scientist,183500,US,US,M
MI,Data Engineer,149600,US,US,M
MI,Data Engineer,102000,US,US,M
EX,Data Scientist,145000,US,US,M
EX,Data Scientist,100000,US,US,M
SE,Data Analyst,190000,US,US,M
SE,Data Analyst,95000,US,US,M
SE,Data Analyst,153600,US,US,M
SE,Data Analyst,106800,US,US,M
MI,Data Scientist,96578,IE,IE,M
MI,Data Scientist,80481,IE,IE,M
MI,Data Analyst,128000,US,US,M
MI,Data Analyst,85000,US,US,M
MI,Data Engineer,151000,US,US,M
MI,Data Engineer,140000,US,US,M
SE,Data Scientist,275300,US,US,M
SE,Data Scientist,183500,US,US,M
SE,Machine Learning Scientist,220000,US,US,M
SE,Machine Learning Scientist,170000,US,US,M
SE,Data Analyst,135000,US,US,M
SE,Data Analyst,105500,US,US,M
SE,Data Analyst,100000,US,US,M
SE,Data Analyst,80000,US,US,M
EN,Autonomous Vehicle Technician,7000,GH,GH,S
EN,Applied Machine Learning Scientist,42923,DE,DE,M
SE,Data Engineer,160000,CA,CA,M
SE,Data Engineer,145000,CA,CA,M
MI,Data Analyst,154000,US,US,M
MI,Data Analyst,143000,US,US,M
MI,Data Scientist,78990,GB,GB,M
MI,Data Scientist,51039,GB,GB,M
EN,Data Scientist,190000,US,US,M
EN,Data Scientist,120000,US,US,M
MI,Data Scientist,85066,GB,GB,M
MI,Data Scientist,51039,GB,GB,M
MI,Data Scientist,109371,GB,GB,M
MI,Data Scientist,72914,GB,GB,M
SE,Data Engineer,150000,US,US,M
SE,Data Engineer,111000,US,US,M
EX,Data Engineer,265000,US,US,M
EX,Data Engineer,235000,US,US,M
EN,Data Scientist,121093,CH,CH,L
MI,Data Scientist,73546,DE,DE,M
SE,Data Engineer,160000,US,US,M
SE,Data Engineer,130000,US,US,M
MI,Data Engineer,75000,US,US,M
MI,Data Engineer,60400,US,US,M
EN,Data Analyst,85000,US,US,M
EN,Data Analyst,75000,US,US,M
SE,Data Engineer,252000,US,US,M
SE,Data Engineer,129000,US,US,M
EN,Data Engineer,92700,US,US,M
EN,Data Engineer,61800,US,US,M
SE,Lead Data Scientist,172309,IE,IE,L
MI,Data Scientist,60093,AT,DE,M
MI,Data Analyst,83500,US,US,M
MI,Data Analyst,52500,US,US,M
SE,Data Scientist,201036,US,US,M
SE,Data Scientist,134024,US,US,M
SE,Data Analyst,165000,US,US,M
SE,Data Analyst,140000,US,US,M
EN,Data Engineer,62000,US,US,M
EN,Data Engineer,58000,US,US,M
SE,Data Scientist,172000,US,US,M
SE,Data Scientist,115000,US,US,M
EN,Data Engineer,125000,US,US,M
EN,Data Engineer,90000,US,US,M
SE,Data Engineer,163800,US,US,M
SE,Data Engineer,126000,US,US,M
SE,Data Scientist,237000,US,US,M
SE,Data Scientist,145000,US,US,M
MI,Data Engineer,90000,US,US,M
MI,Data Engineer,90000,US,US,M
SE,Data Engineer,139500,US,US,M
SE,Data Engineer,109400,US,US,M
SE,Data Scientist,258000,CA,CA,M
SE,Data Scientist,190000,CA,CA,M
MI,Data Engineer,145000,US,US,M
MI,Data Engineer,120000,US,US,M
SE,Data Engineer,205600,US,US,L
SE,Data Engineer,105700,US,US,L
SE,Data Engineer,252000,US,US,M
SE,Data Engineer,129000,US,US,M
SE,Data Scientist,239748,US,US,M
SE,Data Scientist,159832,US,US,M
SE,Data Scientist,186300,US,US,M
SE,Data Scientist,102500,US,US,M
SE,Data Engineer,165000,US,US,M
SE,Data Engineer,132300,US,US,M
SE,Data Scientist,190000,US,US,M
SE,Data Scientist,126000,US,US,M
SE,Data Architect,149040,US,US,M
SE,Data Architect,113900,US,US,M
SE,Data Engineer,153600,US,US,M
SE,Data Engineer,106800,US,US,M
SE,Data Engineer,172600,US,US,M
SE,Data Engineer,107900,US,US,M
SE,Data Analyst,180180,US,US,M
SE,Data Analyst,106020,US,US,M
SE,Data Architect,376080,US,US,M
SE,Data Architect,213120,US,US,M
SE,Data Analyst,153600,US,US,M
SE,Data Analyst,100500,US,US,M
SE,Data Analyst,206500,US,US,M
SE,Data Analyst,121600,US,US,M
SE,Data Engineer,260000,US,US,M
SE,Data Engineer,225000,US,US,M
EX,Data Engineer,194500,US,US,M
EX,Data Engineer,115500,US,US,M
SE,Cloud Database Engineer,170000,US,US,L
SE,Applied Machine Learning Scientist,90000,US,US,L
EN,Data Analyst,95000,US,US,M
EN,Data Analyst,70000,US,US,M
SE,Data Engineer,275000,US,US,M
SE,Data Engineer,160000,US,US,M
SE,Data Analyst,115934,US,US,M
SE,Data Analyst,81666,US,US,M
SE,Data Scientist,175000,US,US,M
SE,Data Scientist,120000,US,US,M
SE,Machine Learning Engineer,150000,US,US,M
SE,Machine Learning Engineer,120000,US,US,M
SE,Research Engineer,200000,US,US,M
SE,Research Engineer,175000,US,US,M
MI,Data Analyst,206000,US,US,M
MI,Data Analyst,130000,US,US,M
SE,Data Architect,138000,GB,GB,M
SE,Data Architect,92000,GB,GB,M
SE,Data Manager,65000,CO,CO,M
SE,Data Manager,48000,CO,CO,M
SE,Data Analyst,110000,US,US,M
SE,Data Analyst,75000,US,US,M
SE,Analytics Engineer,130000,US,US,M
SE,Analytics Engineer,87000,US,US,M
MI,Data Analyst,160000,US,US,M
MI,Data Analyst,112000,US,US,M
MI,Data Engineer,162500,US,US,M
MI,Data Engineer,130000,US,US,M
SE,Data Science Manager,299500,US,US,M
SE,Data Science Manager,245100,US,US,M
MI,Data Scientist,145000,US,US,M
MI,Data Scientist,100000,US,US,M
SE,Data Engineer,147100,US,US,M
SE,Data Engineer,90700,US,US,M
EN,Data Engineer,115100,US,US,M
EN,Data Engineer,73900,US,US,M
SE,Data Engineer,168400,US,US,M
SE,Data Engineer,105200,US,US,M
SE,Data Scientist,210000,US,US,M
SE,Data Scientist,160000,US,US,M
MI,Data Scientist,145000,US,US,M
MI,Data Scientist,100000,US,US,M
SE,Applied Scientist,222200,US,US,L
SE,Applied Scientist,136000,US,US,L
